,Work Description,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,APN_number,AIN,GeneralUseType,SpecificUseType,RecordingDate,Bedrooms,Bathrooms,Units,TotalValue
7769,"CONVERT (E) 17'-7"" x 20'-0"" ATT. GARAGE INTO (N) ACCESSORY DWELLING UN",2018-06-05,18000.0,330.0,0.0,0.0,R1-1-RIO,2130023011,2130023011,Residential,Single Family Residence,2011-12-29,3.0,1.0,1,"357,739.00"
7770,CONVERT EXISTING GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494 AND SB,2018-08-23,70000.0,754.0,,1.0,RA-1-O-CUGU,2616028031,2616028031,Residential,Single Family Residence,2008-10-24,3.0,2.0,1,"196,326.00"
7771,"CONVERT 32'-0"" X 40'-6"" PORTION OF (E) SFD TO (N) ACCESSORY DWELLING U",2018-10-12,20000.0,0.0,0.0,0.0,RS-1,2683002030,2683002030,Residential,Single Family Residence,2011-01-03,5.0,3.0,2,"498,072.00"
7772,"CONVERT (E) 16'0"" x 18'6"" GARAGE TO ACCESSORY DWELLING UNIT PER AB 229",2017-06-29,25000.0,396.0,,0.0,R1-1-O,2646018020,2646018020,Residential,Single Family Residence,2016-08-08,5.0,4.0,2,"421,361.00"
7773,Supplemental permit of 17014-20000-00825 to change <ADU> in job descri,2017-03-03,0.0,,0.0,,RA-1,2103026004,2103026004,Residential,Single Family Residence,2010-06-29,4.0,1.0,1,"859,192.00"
7774,CONVERT (E) DET. GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-12-19,56000.0,801.0,,1.0,R1-1-RIO,2369001002,2369001002,Residential,Single Family Residence,2011-10-06,4.0,3.0,1,"906,199.00"
7775,CONVERT (E) DETACHED GARAGE INTO ACCESSORY DWELLING UNIT AB 494 AND SB,2018-09-14,18500.0,400.0,,1.0,R1V2,4318025010,4318025010,Residential,Single Family Residence,2014-05-16,4.0,5.0,1,"2,362,669.00"
7776,SUPPL. PERMIT TO 16014-20000-06259 TO ADD A WINDOW TO THE ADU PER WFPP,2019-04-30,501.0,,,,RS-1,2669014024,2669014024,Residential,Single Family Residence,2016-04-21,3.0,2.0,1,"301,168.00"
7777,"CONVERT 19'-10"" X 23' ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER A",2017-06-26,20000.0,398.0,0.0,0.0,R1-1,2321005024,2321005024,Residential,Single Family Residence,2010-10-20,4.0,2.0,1,"430,680.00"
7778,Supplemental permit to change address of (e) accessory dwelling unit f,2018-07-26,0.0,,,,RA-1,2755001017,2755001017,Residential,Single Family Residence,2012-09-19,2.0,1.0,1,"358,764.00"
7779,NEW ADU AT REAR OF THE LOT.,2018-06-06,66100.0,608.0,,1.0,R1-1,5035026027,5035026027,Residential,Single Family Residence,2018-01-17,3.0,2.0,1,"366,310.00"
7780,Supplemental to 17010-30000-03592 to add two beams in ADU.,2018-09-21,0.0,,,,R1V2,4248026004,4248026004,Residential,Single Family Residence,2017-07-17,5.0,4.0,2,"634,692.00"
7781,REVISE PLOT PLAN TO RELOCATE  PARKING STALL FOR ADU TO FRONT OF EXISTI,2019-03-07,501.0,,,,RS-1-RIO,2148019014,2148019014,Residential,Single Family Residence,2017-08-28,3.0,1.0,1,"586,500.00"
7782,"Convert 20'x 19'-6"" (e) attached garage to (n) accessory dwelling unit",2017-12-13,40000.0,390.0,,0.0,R1-1-CUGU,2623010010,2623010010,Residential,Single Family Residence,2016-11-09,3.0,1.0,1,"225,899.00"
7783,ECPC EXP - CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AN,2018-12-03,20000.0,319.47,,0.0,R1-1,4009011008,4009011008,Residential,Single Family Residence,2011-01-13,3.0,2.0,1,"287,120.00"
7784,CONVERT EX ATT 2-CAR GARAGE INTO ACCESSORY DWELLING UNIT PER AB 2299 A,2017-12-07,18000.0,1520.0,0.0,1.0,R1-1,2101017015,2101017015,Residential,Single Family Residence,2013-09-06,5.0,3.0,2,"226,187.00"
7785,NEW 42' X 55' IRREGULAR ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2018-07-24,121000.0,1389.0,,1.0,RA-1,2706032043,2706032043,Residential,Single Family Residence,2018-05-16,4.0,3.0,1,"759,900.00"
7786,CONVERT EX ATT GARAGE TO ACCESSORY DWELLING UNIT WITH ADDITION PER AB,2017-07-28,50000.0,3526.0,,0.0,RA-1,2711022028,2711022028,Residential,Single Family Residence,2013-06-04,5.0,4.0,1,"462,852.00"
7787,CONVERT THE EXIST. 18' x 18' GARAGE INTO AN ACCESSORY DWELLING UNIT PE,2017-09-15,33000.0,463.0,,1.0,R2-1,6054034010,6054034010,Residential,Single Family Residence,2012-07-13,2.0,1.0,1,"204,217.00"
7788,CONVERTING (E) 1-STORY SINGLE FAMILY DWELLING TO NEW ADU WITH SINGLE P,2019-06-14,0.0,916.0,0.0,1.0,RD2-1,5468013017,5468013017,Residential,Single Family Residence,2018-07-31,2.0,2.0,1,"640,000.00"
7789,Convert existing garage into an Accessory Dwelling Unit per AB2299 and,2018-01-04,18000.0,365.0,0.0,0.0,R1-1,2167016002,2167016002,Residential,Single Family Residence,2017-02-17,4.0,3.0,2,"154,453.00"
7790,CONVERT (E) 19' X 20'ATTACHED GARAGE TO (N) ACCESSORY DWELLING UNIT PE,2017-07-18,25000.0,1544.0,,0.0,R1-1,2167022019,2167022019,Residential,Single Family Residence,2018-02-05,3.0,2.0,2,"627,757.00"
7791,Conversion to and addition of (E) det. garage to an accessory dwelling,2019-12-03,140000.0,864.0,,1.0,R1-1,4215029010,4215029010,Residential,Single Family Residence,2017-04-11,3.0,3.0,1,"494,759.00"
7792,Convert existing Garage to ADU per AB494 and SB229 with new attached t,2019-07-15,35055.0,304.0,,0.0,R1-1,5045005021,5045005021,Residential,Single Family Residence,2007-01-12,3.0,2.0,1,"724,256.00"
7793,CONVERT (E) DUPLEX TO DUPLEX WITH ATTACHED ACCESSORY DWELLING UNIT PER,2020-05-06,501.0,2212.0,0.0,1.0,C2-1VL,2558033026,2558033026,Residential,"Double, Duplex, or Two Units",2012-05-16,2.0,2.0,2,"208,301.00"
7794,"(N) 21' x 27'-6"" TWO-STORY ACCESSORY DWELLING UNIT",2020-05-08,120000.0,1093.0,,2.0,RD2-1XL,5540008001,5540008001,Residential,Single Family Residence,2017-09-12,5.0,2.0,1,"507,308.00"
7795,NEW DETTACHED 2 STORY ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.,2019-07-25,120000.0,1200.0,,2.0,R1-1,2104016021,2104016021,Residential,Single Family Residence,1997-09-26,3.0,2.0,1,"229,002.00"
7796,"(N) 23'-6"" x 20'-7"" ACCESSORY DWELLING UNIT ADDITION ABOVE (E) DETACHE",2019-08-13,50000.0,487.0,,2.0,R1V1,4423027041,4423027041,Residential,Single Family Residence,2011-06-20,4.0,4.0,1,"2,681,751.00"
7797,"CONVERT 18'-6"" X 20' ATTACHED GARAGE TO  ACCESSORY DWELLING UNIT PER W",2020-05-05,20000.0,2970.0,0.0,,R1-1,2230008018,2230008018,Residential,Single Family Residence,2017-10-31,2.0,1.0,1,"535,500.00"
7798,CONVERT (E) 18' X 20' DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2018-09-06,17000.0,330.0,,0.0,R1-1-RIO,2265018019,2265018019,Residential,Single Family Residence,2014-04-30,3.0,2.0,1,"803,853.00"
7799,"NEW 23' x 17'-6"" TWO-STORY ACCESSORY DWELLING UNIT PER AB494 AND SB229",2020-05-06,80000.0,792.25,,2.0,R1-1,5021010017,5021010017,Residential,Single Family Residence,1990-05-23,4.0,2.0,1,"240,219.00"
7800,SUPPL. PERMIT TO 19014-20000-03563 TO CHECK ACCESSORY DWELLING UNIT PE,2020-05-07,17000.0,173.0,,0.0,RS-1,2301014009,2301014009,Residential,Single Family Residence,2015-09-09,3.0,2.0,1,"509,378.00"
7801,"CONVERT THE (E) 18'0"" X 20'0"" ATTACHED GARAGE INTO A (N) ADU PER AB 49",2018-09-24,27000.0,789.0,0.0,0.0,R1-1-RIO,2231011008,2231011008,Residential,Single Family Residence,2018-07-03,3.0,1.0,1,"600,000.00"
7802,PROPOSED ADU PER AB 949 AND SB 229 AT REAR OF THE LOT PER ENGINEERING,2019-04-30,125000.0,1196.0,,1.0,RS-1-O,2615027042,2615027042,Residential,Single Family Residence,2003-04-15,3.0,2.0,1,"393,395.00"
7803,"CONVERT (E) 2-CAR GARAGE INTO AN ADU ""Comply with Department Order eff",2020-05-05,30000.0,312.0,,0.0,R1-1-O-RFA,5511041012,5511041012,Residential,Single Family Residence,2018-10-17,3.0,2.0,1,"1,600,000.00"
7804,CONVERSION OF (E) GARAGE & ADDITION FOR (N) ACCESSORY DWELLING UNIT,2020-05-08,99200.0,1137.5,,1.0,RA-1-K,2502025005,2502025005,Residential,Three Units (Any Combination),1981-10-09,7.0,5.0,3,"379,878.00"
7805,"29'-5"" X 49'-0"" ACCESSORY DWELLING UNIT ADDITION TO (E) DETACHED GARAG",2019-07-30,130000.0,1183.0,,1.0,RS-1,2309023020,2309023020,Residential,Single Family Residence,2018-08-31,3.0,1.0,1,"525,000.00"
7806,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB494 & SB229,2019-10-02,15000.0,3295.0,0.0,,RS-1,2763011006,2763011006,Residential,Single Family Residence,2011-04-27,4.0,3.0,1,"263,533.00"
7807,PROPOSED (N) (30' X 40') ACCESSORY DWELLING UNIT PER AB494 AND SB229 P,2018-08-01,120000.0,1138.0,,1.0,RS-1,2676015004,2676015004,Residential,Single Family Residence,2018-02-26,3.0,2.0,1,"459,000.00"
7808,NEW ACCESSORY DWELLING UNIT PER AB 494 & SB 229. PER ENGINEERING DESIG,2020-02-05,35552.0,352.0,,1.0,R1-1,4012013017,4012013017,Residential,Single Family Residence,2004-06-17,4.0,2.0,1,"458,124.00"
7809,"CONVERT (E) 18'-1"" X 20'-3"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2020-05-08,17000.0,366.0,0.0,0.0,RS-1-RIO,2136010004,2136010004,Residential,Single Family Residence,2017-08-08,3.0,2.0,1,"173,177.00"
7810,CONVERT EXISTING GARAGE INTO ACCESSORY DWELLING UNIT PER AB 494 AND SB,2019-07-29,103323.0,1032.0,,1.0,R3-1,5078021020,5078021020,Residential,Single Family Residence,2018-09-04,2.0,2.0,1,"461,754.00"
7811,Convert (e) 19' x 20' attached garage to accessory dwelling unit with,2018-12-31,42000.0,626.0,0.0,1.0,R1-1,2637019009,2637019009,Residential,Single Family Residence,2018-09-21,3.0,1.0,1,"522,000.00"
7812,"NEW ADU PER AB 494 AND SB 229., The permit will expired 30-days from i",2019-11-01,55000.0,432.0,,1.0,RS-1,2022015012,2022015012,Residential,Single Family Residence,2003-02-27,3.0,2.0,1,"434,934.00"
7813,CONVERT THE DETACHED GARAGE/STORAGE INTO AN ACCESSORY DWELLING UNIT PE,2019-12-19,40000.0,588.0,,,R1-1,5691020002,5691020002,Residential,Single Family Residence,2002-12-09,3.0,2.0,1,"216,649.00"
7814,CONVERT (E) GARAGE TO ADU PER SB229 & AB494 AND ADD 120 SF TO WEST SID,2019-04-19,25000.0,,,,R1-1,2219013021,2219013021,Residential,Single Family Residence,2000-04-14,4.0,2.0,1,"240,307.00"
7815,CONVERT GARAGE WITH (N) ADDITION TO ACCESSORY DWELLING UNIT. COMPLY WI,2020-05-05,32000.0,576.0,,1.0,R1-1,4009003021,4009003021,Residential,Single Family Residence,1988-05-12,3.0,2.0,1,"211,576.00"
7816,CONVERT EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT AND A,2019-07-22,20000.0,364.0,,0.0,R1-1,4223026004,4223026004,Residential,Single Family Residence,2017-07-03,2.0,1.0,1,"304,707.00"
7817,"CONVERT THE (E) 20' 2"" X 18' 2"" 2-CAR GARAGE TO AN ACCESSORY DWELLING",2019-10-30,20000.0,367.0,,,R1-1,2346020003,2346020003,Residential,Single Family Residence,2011-05-31,2.0,2.0,1,"482,365.00"
7818,Accessory Dwelling Unit on top of existing 2 car garage per AB-2299 an,2019-03-01,60000.0,492.0,,2.0,R1V2,4236007005,4236007005,Residential,Single Family Residence,2017-03-31,3.0,1.0,1,"549,578.00"
7819,SUPPLEMENTAL PERMIT TO 17016-20000-32323 TO REVISE ACCESSORY DWELLING,2018-05-08,501.0,,,,R1-1,2324024009,2324024009,Residential,Single Family Residence,2017-11-01,4.0,4.0,2,"685,250.00"
7820,PERMANANT SHORING USING SOLDIER PILES FOR NEW ATTACHED ADU TO (E) SFD.,2018-06-12,20000.0,,,,R1-1,5466034004,5466034004,Residential,Single Family Residence,2012-08-28,2.0,1.0,1,"485,714.00"
7821,"CONVERT (E) 19'4"" x 21'6"" GARAGE TO AN ACCESSORY DWELLING UNIT PER AB",2017-03-23,10000.0,376.0,1.0,0.0,R1-1,2332014008,2332014008,Residential,Single Family Residence,2017-05-17,3.0,2.0,1,"775,597.00"
7822,CONVERT (E) ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB-2299 AN,2017-06-09,22000.0,433.0,1.0,0.0,RS-1,2013016008,2013016008,Residential,Single Family Residence,2012-05-02,3.0,2.0,1,"392,955.00"
7823,"CONVERT 20'8"" x 23'3"" PORTION OF ATTACHED GARAGE TO ACCESSORY DWELLING",2017-04-06,15000.0,478.0,1.0,0.0,RE11-1,2028034009,2028034009,Residential,Single Family Residence,2018-08-03,4.0,2.0,1,"227,864.00"
7824,CONVERT GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069,2017-03-31,15000.0,335.0,,1.0,R1-1,2340023003,2340023003,Residential,Single Family Residence,2018-02-27,4.0,3.0,1,"1,249,500.00"
7825,"CONVERT (E) 24'-3"" X 20'-3"" GARAGE TO ACCESSORY DWELLING UNIT PER AB 2",2017-04-27,25000.0,491.0,1.0,0.0,R1-1-CUGU,2624006020,2624006020,Residential,Single Family Residence,2015-01-27,3.0,2.0,1,"331,846.00"
7826,"convert a living room to an ADU in an existing sfd. ""COMPLY WITH DEPAR",2017-06-09,8000.0,,1.0,,R1-1,6109008007,6109008007,Residential,Single Family Residence,2018-11-01,3.0,2.0,1,"342,984.00"
7827,CORRECT PERMIT TO COLLECT M.E.P. FEES FOR ADU CONVERSION.,2017-06-21,18400.0,,,,R1-1,2215026006,2215026006,Residential,Single Family Residence,2017-06-06,5.0,2.0,1,"625,260.00"
7828,"CONVERT 18' X 15' GARAGE TO ACCESSORY DWELLING UNIT AND ADD 20'-11"" X",2017-03-28,40000.0,398.0,1.0,1.0,R3-1,5051008011,5051008011,Residential,Single Family Residence,2013-07-17,3.0,3.0,2,"299,952.00"
7829,Convert detached garage to Accessory Dwelling Unit per AB 2299 & SB 10,2017-03-29,20000.0,400.0,1.0,1.0,R1-1-RIO,2132017002,2132017002,Residential,Single Family Residence,2017-06-15,4.0,2.0,1,"697,067.00"
7830,"CONVERT (E) 18'-3"" x 20'-3"" GARAGE INTO  (N) ACCESSORY DWELLING UNIT P",2017-06-06,20000.0,370.0,1.0,0.0,R1-1,2226020010,2226020010,Residential,Single Family Residence,2007-03-15,3.0,3.0,2,"625,000.00"
7831,"CONVERT (E) 25'5"" x 18'5"" GARAGE TO AN ACCESSORY DWELLING UNIT PER AB",2017-05-03,23200.0,368.0,1.0,0.0,RS-1,2309010011,2309010011,Residential,Single Family Residence,2015-10-16,4.0,4.0,1,"604,781.00"
7832,NEW 1200 SQ/FT ACCESSORY DWELLING UNIT PER AB 2299 & SB 1069.,2017-04-27,121000.0,1200.0,,1.0,RA-1,2787016007,2787016007,Residential,Single Family Residence,2018-02-20,8.0,5.0,2,"877,693.00"
7833,Addition to existing sfd to create new ADU per AB2299 and SB1069.,2017-05-24,72747.0,2282.0,1.0,2.0,R1-1,4303027020,4303027020,Residential,Single Family Residence,2016-08-10,4.0,4.0,2,"966,645.00"
7834,CONVERT (E) REC. ROOM INTO ACCESSORY DWELLING UNIT PER AB 2299 AND SB,2017-04-19,5000.0,0.0,1.0,,R1-1,4248028016,4248028016,Residential,"Double, Duplex, or Two Units",2017-05-02,3.0,3.0,2,"205,995.00"
7835,CONVERT (E) 20' x 18' GARAGE TO AN ACCESSORY DWELLING UNIT PER AB 2299,2017-06-08,17000.0,360.0,1.0,0.0,R2-1,5586023019,5586023019,Residential,Single Family Residence,2016-06-24,3.0,2.0,1,"1,328,419.00"
7836,ADDITION TO (E) DETACHED GARAGE.  NEW ATTACHED ACCESSORY DWELLING UNIT,2017-04-28,37000.0,398.0,1.0,1.0,R1-1,4223001021,4223001021,Residential,Single Family Residence,2016-02-16,2.0,1.0,1,"928,556.00"
7837,CONVERSION OF (E) REC ROOM/WORKSHOP(17.25' x 38') TO NEW ADU PER AB 22,2017-05-05,15000.0,160.0,1.0,0.0,R1-1-CUGU,2316003049,2316003049,Residential,Single Family Residence,2017-06-02,4.0,3.0,1,"832,866.00"
7838,CONVERT (E) DET. GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 AND SB,2017-06-07,20000.0,465.0,1.0,,R1-1,5044013006,5044013006,Residential,Single Family Residence,2016-11-18,3.0,3.0,2,"714,172.00"
7839,ADD TO & CONVERT GARAGE/ REC RM TO ACCESSORY DWELLING UNIT PER AB 2299,2017-04-26,41000.0,858.0,1.0,0.0,R1-1-CUGU,2633015002,2633015002,Residential,Single Family Residence,2016-08-30,3.0,1.0,1,"494,189.00"
7840,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 & SB 10,2017-04-20,22000.0,,1.0,,R1-1,2629028018,2629028018,(missing),(missing),2014-09-29,3.0,2.0,1,"374,215.00"
7841,"CONVERT (E) 22'-0"" X 18'-0"" REC. ROOM INTO (N) ADU PER AB 2299 AND SB",2017-04-11,10000.0,0.0,1.0,1.0,R1-1,4257012013,4257012013,Residential,Single Family Residence,2017-11-28,3.0,4.0,2,"1,709,520.00"
7842,"CONVERT (E) 20'-0"" X 18'-0"" DETACHED GARAGE INTO ACCESSORY DWELLING UN",2017-05-22,17000.0,338.0,1.0,1.0,R1-1,5066017014,5066017014,Residential,Single Family Residence,2014-01-17,3.0,3.0,1,"817,406.00"
7843,Convert (E) recreation room to Accessory Dwelling Unit per AB 2299 & S,2017-05-22,1500.0,403.0,1.0,1.0,R1-1-RIO,2263025026,2263025026,Residential,Single Family Residence,2006-12-13,3.0,3.0,2,"785,966.00"
7844,CONVERT 2ND STORY STORAGE TO ACCESSORY DWELLING UNIT AS PER AB 2299 AN,2017-05-15,21000.0,345.3,1.0,0.0,RE11-1-HPOZ,5505024003,5505024003,Residential,Single Family Residence,2017-01-06,4.0,6.0,2,"8,434,992.00"
7845,CONVERT (E) 20' x 20' GARAGE TO AN ACCESSORY DWELLING UNIT PER AB 2299,2017-05-23,18400.0,400.0,1.0,,R1-1,2511022019,2511022019,(missing),(missing),2007-02-16,3.0,1.0,1,"489,500.00"
7846,"CONVERT 21' X 23'-4"" RECREATION ROOM TO ADU PER AB 2299 AND SB 1069. """,2017-03-16,10000.0,0.0,1.0,0.0,RS-1,2688003018,2688003018,Residential,Single Family Residence,2004-11-30,3.0,2.0,1,"580,848.00"
7847,"CONVERT (E) 21' x 21'-6"" ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PE",2017-03-30,21000.0,450.0,1.0,1.0,RS-1,2786018016,2786018016,Residential,Single Family Residence,2015-06-25,4.0,2.0,1,"420,179.00"
7848,"8'8""X5'5"" ADDITION TO EXISTING GARAGE AND CONVERT TO ADU PER AB 2299",2017-06-02,25000.0,334.0,1.0,1.0,R1-1-RIO,5436025006,5436025006,Residential,"Double, Duplex, or Two Units",2011-04-13,3.0,3.0,2,"850,038.00"
7849,CONVERT THE (E) DETACHED GARAGE INTO (N) ACCESSORY DWELLING UNIT PER A,2017-03-29,20130.0,335.0,1.0,1.0,R1-1,2564010036,2564010036,(missing),(missing),2018-12-06,3.0,3.0,1,"796,000.00"
7850,INTERIOR REMODEL OF ADU TO ADD A BEDROOM,2018-06-26,2000.0,,,,RE11-1,2329023002,2329023002,Residential,Single Family Residence,2009-05-14,3.0,1.0,1,"556,695.00"
7851,CONVERT 20' X 20' GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 & SB 1,2017-03-13,18000.0,400.0,1.0,0.0,RS-1-RIO,2148018020,2148018020,Residential,Single Family Residence,2015-11-18,3.0,2.0,1,"498,766.00"
7852,"CONVERT (E) 20'0"" x 18'3"" DETACHED GARAGE TO ACCESSORY DWELLING UNIT P",2017-03-02,15000.0,335.0,1.0,0.0,R1-1,2244021011,2244021011,Residential,Single Family Residence,2018-06-08,3.0,2.0,1,"742,392.00"
7853,"CONVERT (E) GARAGE INTO ACCESSORY DWELLING UNIT, 1 STORY, 18'x20', TYP",2017-05-12,15000.0,360.0,1.0,1.0,R1-1,2421033008,2421033008,Residential,Single Family Residence,2018-04-03,3.0,2.0,1,"1,249,500.00"
7854,SUPPLEMENTAL PERMIT TO #18016-30000-15097 TO FIX SITE PLAN TO SHOW ADU,2018-06-21,0.0,,,,R1-1-RIO,2263038034,2263038034,Residential,Single Family Residence,2016-02-18,3.0,2.0,1,"869,487.00"
7855,Conversion of 2nd story Storage into Accessory Dwelling Unit per AB 22,2017-05-18,25000.0,746.0,1.0,2.0,R1-1-RIO,5437025025,5437025025,Residential,Single Family Residence,2015-09-08,5.0,3.0,1,"602,276.00"
7856,Convert Existing Recration Room to Accessory Dwelling Unit per AB 2299,2017-06-08,30000.0,0.0,1.0,,R1-1,5017014014,5017014014,Residential,"Double, Duplex, or Two Units",2011-11-29,4.0,2.0,2,"272,491.00"
7857,Supplemental to 17016-30000-10905 to correct rear setback of ADU per s,2018-05-08,0.0,,,,RD1.5-1,4240014021,4240014021,Residential,Single Family Residence,1999-04-01,2.0,1.0,1,"288,084.00"
7858,CONVERT EXISTING DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 229,2017-04-26,10000.0,365.0,1.0,1.0,R1-1,4214014013,4214014013,(missing),(missing),2014-06-03,3.0,3.0,2,"805,003.00"
7859,"(N) 12'4"" X 22'9"" ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069. ALL",2017-06-09,28000.0,280.0,1.0,1.0,R1-1,2214001014,2214001014,Residential,Single Family Residence,2012-03-27,2.0,1.0,1,"302,929.00"
7860,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 AND SB,2017-04-17,25800.0,435.0,1.0,0.0,RE11-1,2046002059,2046002059,Residential,Single Family Residence,2017-06-20,4.0,4.0,1,"797,986.00"
7861,CONVERT (E) 18' X 20' ATTACHED GARAGE TO AN ACCESSORY DWELLING UNIT PE,2017-05-30,25000.0,360.0,1.0,1.0,R1-1-RIO,2124003010,2124003010,Residential,Single Family Residence,2013-03-28,4.0,2.0,1,"496,819.00"
7862,325 SF GARAGE CONVERSION TO ACCESSORY DWELLING UNIT PER AB2299,2017-05-24,15000.0,0.0,1.0,0.0,R1-1,2628015006,2628015006,Residential,Single Family Residence,2013-11-08,3.0,2.0,1,"490,165.00"
7863,PROPOSE IRREGULAR SHAPE 57.5' X 36.75'ACCESSORY DWELLING UNIT WITH ATT,2017-05-02,148000.0,1128.0,1.0,1.0,RA-1,2650035011,2650035011,Residential,Single Family Residence,2018-07-23,8.0,5.0,2,"629,628.00"
7864,"supplemental ref to pcis # 17014-30000-04327, infill door between adu",2017-12-05,501.0,,,,R1-1-HPOZ,5515021001,5515021001,Residential,Single Family Residence,2012-12-19,4.0,2.0,1,"1,670,118.00"
7865,"CONVERT (E) 20'-0"" x 18'-2"" GARAGE TO AN ACCESSORY DWELLING UNIT PER A",2017-06-16,25000.0,423.5,1.0,0.0,R1-1,2201005029,2201005029,Residential,Single Family Residence,2016-12-19,4.0,3.0,1,"447,908.00"
7866,PROPOSE (N) 30'X40' ONE STORY DETACHED ACCESSORY DWELLING UNIT WITH ON,2017-05-31,121200.0,1131.0,1.0,1.0,RA-1,2303004007,2303004007,Residential,Single Family Residence,2014-03-12,3.0,3.0,1,"842,579.00"
7867,"CONVERT (E) GARAGE 18'-2"" X 18'-2"" TO ADU PER AB 2299 AND SB 1069.  Al",2017-05-18,18000.0,295.0,1.0,1.0,R1-1-O,4319006019,4319006019,Residential,Single Family Residence,2000-07-28,3.0,3.0,2,"409,516.00"
7868,"CONVERSION FROM ACCESSORY LIVING QUARTER TO  ACCESSORY DWELLING UNIT ,",2017-03-01,5000.0,821.0,,2.0,RE20-1-H,4370023044,4370023044,Residential,Single Family Residence,2006-12-08,4.0,5.0,1,"5,591,742.00"
7869,"NEW 27'-6"" x 18'-0"" ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069. A",2017-05-25,50000.0,451.0,1.0,1.0,R1-1-CUGU,2616017017,2616017017,Residential,Single Family Residence,2008-09-05,3.0,2.0,1,"53,572.00"
7870,CONVERT THE EXIST. DETACHED GARAGE TO AN ACCESSORY DWELLING UNIT PER A,2017-06-28,21400.0,343.0,1.0,1.0,R1-1-RFA-RIO,2366011019,2366011019,Residential,Single Family Residence,2011-12-07,3.0,3.0,1,"863,088.00"
7871,CONVERT EXISTING STORAGE BUILDING AND (E) GARAGE TO ADU AS PER AB 2299,2017-06-22,37500.0,880.0,1.0,0.0,R1V2,4245005001,4245005001,Residential,Single Family Residence,2013-04-18,2.0,2.0,1,"676,507.00"
7872,CONVERT EX DETACHED REC. ROOM BLDG TO ACCESSORY DWELLING UNIT PER AB-2,2017-05-03,9800.0,0.0,1.0,1.0,R1-1,2385029022,2385029022,Residential,Single Family Residence,2018-05-17,2.0,2.0,1,"1,433,100.00"
7873,SUPPLEMENTAL PERMIT TO REVISE ACCESSORY DWELLING UNIT LAYOUT TO ADD ON,2017-12-20,501.0,,,,R1-1,2331002020,2331002020,Residential,Single Family Residence,2010-11-30,3.0,2.0,1,"384,742.00"
7874,(E) DETACHED GARAGE CONVERTED TO ACCESSORY DWELLING UNIT PER AB 2299 A,2017-03-09,22000.0,370.0,1.0,1.0,R1-1-RIO,2242007002,2242007002,Residential,Single Family Residence,2002-09-06,3.0,1.0,1,"397,330.00"
7875,"20' X 24'-4"" ADDITION TO (E) RECROOM AND CONVERT TO ADU PER AB 2299 AN",2017-04-28,49000.0,967.0,1.0,1.0,R1-1,2119011006,2119011006,Residential,Single Family Residence,2005-07-29,4.0,3.0,1,"609,000.00"
7876,SUPPL. PERMIT TO 17016-20000-27264 TO CONVERT THE (E) ADU INTO A (N) A,2018-08-24,22000.0,332.0,,0.0,R1-1,2261038045,2261038045,Residential,Single Family Residence,2018-03-06,3.0,3.0,1,"905,005.00"
7877,SUPPLEMENTAL TO 17010-20000-02034 TO CHANGE ACCESSORY DWELLING FROM RA,2018-08-14,501.0,0.0,,0.0,RS-1,2666025001,2666025001,Residential,Single Family Residence,2010-04-02,4.0,2.0,1,"218,749.00"
7878,"CONVERT (E) 21'1"" x 19'10"" DETACHED GARAGE TO AN ACCESSORY DWELLING U",2017-03-24,65000.0,695.0,1.0,0.0,R1-1-O,5053018029,5053018029,Residential,Single Family Residence,2016-12-22,5.0,3.0,2,"634,368.00"
